アー	aː
アルタイル	aɾɯtaiɾɯ
アルテミス	aɾɯtemisɯ
アルデヒド	aɾɯdeçido
アルデンテ	aɾɯdeɴte
アルト	aɾɯto
アルハラ	aɾɯhaɾa
アルバ	aɾɯba
アルバイト	aɾɯbaito
アルバトロス	aɾɯbatoɾosɯ
アルバニア	aɾɯbania
アルバム	aɾɯbamɯ
アルパカ	aɾɯpaka
アルファベット	aɾɯɸabetːo
アルブミン	aɾɯbɯmiɴ
アルプス	aɾɯpɯsɯ
アルベド	aɾɯbedo
アルペッジョ	aɾɯpedʑːo
アルマジロ	aɾɯmadʑiɾo
アルミ	aɾɯmi
アルミナ	aɾɯmina
アルミニウム	aɾɯminiɯmɯ
アレイ	aɾei
アレクサンドライト	aɾekɯsaɴdoɾaito
アレゴリー	aɾegoɾiː
アレス	aɾesɯ
アレルギー	aɾeɾɯgiː
アレンジ	aɾeɴdʑi
アロエ	aɾoe
アンインストール	aɴiɴsɯtoːɾɯ
アンカー	aɴkaː
アンク	aɴkɯ
アンクレット	aɴkɯɾetːo
アングル	aɴgɯɾɯ
アングロサクソン	aɴgɯɾosakɯsoɴ
アンケート	aɴkeːto
アンコール	aɴkoːɾɯ
アンゴラ	aɴgoɾa
アンサンブル	aɴsaɴbɯɾɯ
アンジャベル	aɴdʑabeɾɯ
アンセム	aɴsemɯ
アンソロジー	aɴsoɾodʑiː
アンダー	aɴdaː
アンダーウエア	aɴdaːɯea
アンダーシャツ	aɴdaːɕatsɯ
アンダーバー	aɴdaːbaː
アンダーバスト	aɴdaːbasɯto
アンチエイジング	aɴtɕieidʑiɴgɯ
アンチック	aɴtɕikːɯ
アンチノミー	aɴtɕinomiː
アンチモン	aɴtɕimoɴ
アンチョビ	aɴtɕobi
アンテナ	aɴtena
アンテロープ	aɴteɾoːpɯ
アントシアニン	aɴtoɕianiɴ
アントラセン	aɴtoɾaseɴ
アンド	aɴdo
アンドラ	aɴdoɾa
アンドロイド	aɴdoɾoido
アンドロゲン	aɴdoɾogeɴ
アンニュイ	aɴnjɯi
アンニョンハセヨ	aɴnjoɴhasejo
アンプ	aɴpɯ
アンプル	aɴpɯɾɯ
アンペア	aɴpea
アンマウント	aɴmaɯɴto
アンモナイト	aɴmonaito
アンモニア	aɴmonia
アンモニウム	aɴmoniɯmɯ
アンラッキー	aɴɾakːiː
イ	i
イーゼル	iːzeɾɯ
イェイ	iei
イエス	iesɯ
イエズス	iezɯsɯ
イエネコ	ieneko
イエメン	iemeɴ
イエロー	ieɾoː
イオン	ioɴ
イクメン	ikɯmeɴ
イクラ	ikɯɾa
イグアナ	igɯana
イグルー	igɯɾɯː
イケメン	ikemeɴ
イコール	ikoːɾɯ
イコノグラフィー	ikonogɯɾaɸiː
イコノロジー	ikonoɾodʑiː
イコライザ	ikoɾaiza
イスタンブール	isɯtaɴbɯːɾɯ
イスタンブル	isɯtaɴbɯɾɯ
イスラーム	isɯɾaːmɯ
イスラマバード	isɯɾamabaːdo
イスラム	isɯɾamɯ
イズム	izɯmɯ
イソフラボン	isoɸɯɾaboɴ
イソメ	isome
イソロイシン	isoɾoiɕiɴ
イタリアン	itaɾiaɴ
イッテルビウム	itːeɾɯbiɯmɯ
イットリウム	itːoɾiɯmɯ
イデア	idea
イデオロギー	ideoɾogiː
イニシアティブ	iniɕiateibɯ
イニシアル	iniɕiaɾɯ
イニシャル	iniɕaɾɯ
イニング	iniɴgɯ
イブ	ibɯ
イベント	ibeɴto
イペリット	ipeɾitːo
イマーム	imaːmɯ
イマジネーション	imadʑineːɕoɴ
イミダゾール	imidazoːɾɯ
イミフ	imiɸɯ
イメージクラブ	imeːdʑikɯɾabɯ
イメクラ	imekɯɾa
イメチェン	imetɕeɴ
イメトレ	imetoɾe
イヤホーン	ijahoːɴ
イヤホン	ijahoɴ
イヤリング	ijaɾiɴgɯ
イラク	iɾakɯ
イラスト	iɾasɯto
イラストレーション	iɾasɯtoɾeːɕoɴ
イラストレーター	iɾasɯtoɾeːtaː
イラマチオ	iɾamatɕio
イラン	iɾaɴ
イリジウム	iɾidʑiɯmɯ
イルミ	iɾɯmi
イルミネーション	iɾɯmineːɕoɴ
イレウス	iɾeɯsɯ
イレブン	iɾebɯɴ
イン	iɴ
インキ	iɴki
インキュバス	iɴkjɯbasɯ
インキュベーター	iɴkjɯbeːtaː
インク	iɴkɯ
イングランド	iɴgɯɾaɴdo
イングリッシュ	iɴgɯɾiɕːɯ
イングリッシュホルン	iɴgɯɾiɕːɯhoɾɯɴ
インゴット	iɴgotːo
インジウム	iɴdʑiɯmɯ
インスタント	iɴsɯtaɴto
インスタントラーメン	iɴsɯtaɴtoɾaːmeɴ
インスト	iɴsɯto
インストーラー	iɴsɯtoːɾaː
インストール	iɴsɯtoːɾɯ
インストア	iɴsɯtoa
インストゥルメンタル	iɴsɯtɯɾɯmeɴtaɾɯ
インスピレーション	iɴsɯpiɾeːɕoɴ
インセスト	iɴsesɯto
インターチェンジ	iɴtaːtɕeɴdʑi
インターネット	iɴtaːnetːo
インターハイ	iɴtaːhai
インターポール	iɴtaːpoːɾɯ
インターン	iɴtaːɴ
インタビュー	iɴtabjɯː
インタビュアー	iɴtabjɯaː
インダクタ	iɴdakɯta
インチ	iɴtɕi
インティファーダ	iɴteiɸaːda
インテリア	iɴteɾia
インテリジェンス	iɴteɾidʑieɴsɯ
インテル	iɴteɾɯ
インテルメッツォ	iɴteɾɯmetsːɯo
インディーズ	iɴdeiːzɯ
インディアナ	iɴdeiana
インディアン	iɴdeiaɴ
インデックス	iɴdekːɯsɯ
インドール	iɴdoːɾɯ
インドア	iɴdoa
インナー	iɴnaː
インハイ	iɴhai
インバータ	iɴbaːta
インパクト	iɴpakɯto
インピーダンス	iɴpiːdaɴsɯ
インフォ	iɴɸo
インフォメーション	iɴɸomeːɕoɴ
インフラ	iɴɸɯɾa
インフラストラクチャー	iɴɸɯɾasɯtoɾakɯtɕaː
インフレ	iɴɸɯɾe
インフレーション	iɴɸɯɾeːɕoɴ
インプット	iɴpɯtːo
インボイス	iɴboisɯ
インポ	iɴpo
インポテンス	iɴpoteɴsɯ
インポテンツ	iɴpoteɴtsɯ
イヴ	ivɯ
ウ	ɯ
ウーメラ	ɯːmeɾa
ウィ	ɯi
ウィキペディア	ɯikipedeia
ウィクショナリー	ɯikɯɕonaɾiː
ウィザード	ɯizaːdo
ウィスキー	ɯisɯkiː
ウィッカ	ɯikːa
ウィンター	ɯiɴtaː
ウィンドウ	ɯiɴdoɯ
ウィンブルドン	ɯiɴbɯɾɯdoɴ
ウイスキー	ɯisɯkiː
ウイッチ	ɯitɕːi
ウイルス	ɯiɾɯsɯ
ウインカー	ɯiɴkaː
ウインク	ɯiɴkɯ
ウインチ	ɯiɴtɕi
ウインドー	ɯiɴdoː
ウェー	ɯeː
ウェーバ	ɯeːba
ウェールズ	ɯeːɾɯzɯ
ウェア	ɯea
ウェスタ	ɯesɯta
ウェスタン	ɯesɯtaɴ
ウェディング	ɯedeiɴgɯ
ウェヌス	ɯenɯsɯ
ウェブ	ɯebɯ
ウェブページ	ɯebɯpeːdʑi
ウエア	ɯea
ウエイター	ɯeitaː
ウエイト	ɯeito
ウエイトレス	ɯeitoɾesɯ
ウエス	ɯesɯ
ウエスタン	ɯesɯtaɴ
ウエスト	ɯesɯto
ウエディング	ɯedeiɴgɯ
ウォー	ɯoː
ウォーターボーディング	ɯoːtaːboːdeiɴgɯ
ウォーニング	ɯoːniɴgɯ
ウォール	ɯoːɾɯ
ウォールフラワー	ɯoːɾɯɸɯɾaɰᵝaː
ウォッカ	ɯokːa
ウォッシュレット	ɯoɕːɯɾetːo
ウォルフラム	ɯoɾɯɸɯɾamɯ
ウォレット	ɯoɾetːo
ウォン	ɯoɴ
ウォンバット	ɯoɴbatːo
ウオーター	ɯoːtaː
ウオッチ	ɯotɕːi
ウオツカ	ɯotsɯka
ウガンダ	ɯgaɴda
ウクレレ	ɯkɯɾeɾe
ウグイ	ɯgɯi
ウシバエ	ɯɕibae
ウズベキスタン	ɯzɯbekisɯtaɴ
ウタリ	ɯtaɾi
ウッドチャック	ɯdːotɕakːɯ
ウパニシャッド	ɯpaniɕadːo
ウラヌス	ɯɾanɯsɯ
ウラン	ɯɾaɴ
ウルフ	ɯɾɯɸɯ
ウヰスキー	ɯɰᵝisɯkiː
ウンウンヘキシウム	ɯɴɯɴhekiɕiɯmɯ
ウンディーネ	ɯɴdeiːne
エーカー	eːkaː
エージェント	eːdʑieɴto
エース	eːsɯ
エーテル	eːteɾɯ
エール	eːɾɯ
エアコン	eakoɴ
エアコンディショナー	eakoɴdeiɕonaː
エアチェック	eatɕekːɯ
エアロゾル	eaɾozoɾɯ
エアロビクス	eaɾobikɯsɯ
エイ	ei
エイト	eito
エイリアン	eiɾiaɴ
エキサイト	ekisaito
エキシビション	ekiɕibiɕoɴ
エキス	ekisɯ
エキストラ	ekisɯtoɾa
エキスパート	ekisɯpaːto
エクトプラズム	ekɯtopɯɾazɯmɯ
エゲレス	egeɾesɯ
エコ	eko
エコノミー	ekonomiː
エコノミクス	ekonomikɯsɯ
エコバッグ	ekobagːɯ
エコロジー	ekoɾodʑiː
エゴ	ego
エス	esɯ
エスカルゴ	esɯkaɾɯgo
エスカレーター	esɯkaɾeːtaː
エスケープ	esɯkeːpɯ
エスコート	esɯkoːto
エスタブリッシュメント	esɯtabɯɾiɕːɯmeɴto
エステティシャン	esɯteteiɕaɴ
エステル	esɯteɾɯ
エストニア	esɯtonia
エストラジオール	esɯtoɾadʑioːɾɯ
エストロゲン	esɯtoɾogeɴ
エスニック	esɯnikːɯ
エスノロジー	esɯnoɾodʑiː
エスパー	esɯpaː
エスプリ	esɯpɯɾi
エスプレッソ	esɯpɯɾesːo
エスペラント	esɯpeɾaɴto
エタノール	etanoːɾɯ
エタン	etaɴ
エチオピア	etɕiopia
エチュード	etɕɯːdo
エチル	etɕiɾɯ
エチレン	etɕiɾeɴ
エッグノッグ	egːɯnogːɯ
エッジ	edʑːi
エデン	edeɴ
エトス	etosɯ
エトピリカ	etopiɾika
エドガー	edogaː
エネルギー	eneɾɯgiː
エネルギッシュ	eneɾɯgiɕːɯ
エバ	eba
エバミルク	ebamiɾɯkɯ
エビフライ	ebiɸɯɾai
エビマヨ	ebimajo
エピソード	episoːdo
エピネフリン	epineɸɯɾiɴ
エピローグ	epiɾoːgɯ
エプロン	epɯɾoɴ
エベント	ebeɴto
エホバ	ehoba
エミュ	emjɯ
エミュー	emjɯː
エミュレータ	emjɯɾeːta
エミュレーター	emjɯɾeːtaː
エメラルド	emeɾaɾɯdo
エラー	eɾaː
エリート	eɾiːto
エリア	eɾia
エリトリア	eɾitoɾia
エリヤ	eɾija
エル	eɾɯ
エルビウム	eɾɯbiɯmɯ
エルフ	eɾɯɸɯ
エレガント	eɾegaɴto
エレキ	eɾeki
エレキテル	eɾekiteɾɯ
エレクトリック	eɾekɯtoɾikːɯ
エレクトロニクス	eɾekɯtoɾonikɯsɯ
エレジー	eɾedʑiː
エレベーター	eɾebeːtaː
エロ	eɾo
エロゲ	eɾoge
エロス	eɾosɯ
エロチシズム	eɾotɕiɕizɯmɯ
エロチック	eɾotɕikːɯ
エンカウント	eɴkaɯɴto
エンジェル	eɴdʑieɾɯ
エンジン	eɴdʑiɴ
エンスト	eɴsɯto
エンゼル	eɴzeɾɯ
エンターテイメント	eɴtaːteimeɴto
エンターテインメント	eɴtaːteiɴmeɴto
エンタープライズ	eɴtaːpɯɾaizɯ
エンタシス	eɴtaɕisɯ
エンタテインメント	eɴtateiɴmeɴto
エンタブレチュア	eɴtabɯɾetɕɯa
エントリー	eɴtoɾiː
エントリーシート	eɴtoɾiːɕiːto
エンドユーザ	eɴdojɯːza
エンドユーザー	eɴdojɯːzaː
エンドルフィン	eɴdoɾɯɸiɴ
エンドロール	eɴdoɾoːɾɯ
オーエス	oːesɯ
オーガ	oːga
オーガズム	oːgazɯmɯ
オーガニック	oːganikːɯ
オーキシン	oːkiɕiɴ
オーク	oːkɯ
オーケストラ	oːkesɯtoɾa
オーシャン	oːɕaɴ
オーソドックス	oːsodokːɯsɯ
オータム	oːtamɯ
オーダー	oːdaː
オーダーメイド	oːdaːmeido
オーディオ	oːdeio
オーディオブック	oːdeiobɯkːɯ
オーディション	oːdeiɕoɴ
オーディン	oːdeiɴ
オーデコロン	oːdekoɾoɴ
オートバイ	oːtobai
オートパイロット	oːtopaiɾotːo
オートミール	oːtomiːɾɯ
オートロック	oːtoɾokːɯ
オード	oːdo
オードトワレ	oːdotoɰᵝaɾe
オードブル	oːdobɯɾɯ
オーバー	oːbaː
オーバーオール	oːbaːoːɾɯ
オーバーキル	oːbaːkiɾɯ
オーバーシュート	oːbaːɕɯːto
オーバータイム	oːbaːtaimɯ
オーバードース	oːbaːdoːsɯ
オーバーブラウス	oːbaːbɯɾaɯsɯ
オーパーツ	oːpaːtsɯ
オーブン	oːbɯɴ
オープニング	oːpɯniɴgɯ
オーボー	oːboː
オーボエ	oːboe
オーム	oːmɯ
オール	oːɾɯ
オールバック	oːɾɯbakːɯ
オーレ	oːɾe
オーロックス	oːɾokːɯsɯ
オーロラ	oːɾoɾa
オア	oa
オアシス	oaɕisɯ
オイタナジー	oitanadʑiː
オイディプース	oideipɯːsɯ
オウンゴール	oɯɴgoːɾɯ
オオミチバシリ	oomitɕibaɕiɾi
オカズ	okazɯ
オカピ	okapi
オカリナ	okaɾina
オカルト	okaɾɯto
オガライト	ogaɾaito
オキシトシン	okiɕitoɕiɴ
オクターブ	okɯtaːbɯ
オクタン	okɯtaɴ
オクラ	okɯɾa
オグロ	ogɯɾo
オケ	oke
オスカー	osɯkaː
オスミウム	osɯmiɯmɯ
オセアニア	oseania
オセロ	oseɾo
オセロット	oseɾotːo
オゾン	ozoɴ
オタク	otakɯ
オタリア	otaɾia
オタワ	otaɰᵝa
オッズ	ozːɯ
オットマン	otːomaɴ
オッドアイ	odːoai
オナニー	onaniː
オナペット	onapetːo
オナホ	onaho
オナホール	onahoːɾɯ
オネエ	onee
オノマトペ	onomatope
オハイオ	ohaio
オバマケア	obamakea
オピウム	opiɯmɯ
オファー	oɸaː
オフショルダー	oɸɯɕoɾɯdaː
オブジェ	obɯdʑie
オブラート	obɯɾaːto
オブリガート	obɯɾigaːto
オプション	opɯɕoɴ
オプス	opɯsɯ
オプチミスト	opɯtɕimisɯto
オプチミズム	opɯtɕimizɯmɯ
オベリスク	obeɾisɯkɯ
オペ	ope
オペアンプ	opeaɴpɯ
オペレッタ	opeɾetːa
オポッサム	oposːamɯ
オマージュ	omaːdʑɯ
オムニバス	omɯnibasɯ
オムライス	omɯɾaisɯ
オムレツ	omɯɾetsɯ
オランウータン	oɾaɴɯːtaɴ
オリーブ	oɾiːbɯ
オリエンテーション	oɾieɴteːɕoɴ
オリキャラ	oɾikjaɾa
オリジナル	oɾidʑinaɾɯ
オリンピック	oɾiɴpikːɯ
オルガスムス	oɾɯgasɯmɯsɯ
オルゴール	oɾɯgoːɾɯ
オルト	oɾɯto
オレガノ	oɾegano
オレゴン	oɾegoɴ
オレフィン	oɾeɸiɴ
オレンジ	oɾeɴdʑi
オワコン	oɰᵝakoɴ
オングストローム	oɴgɯsɯtoɾoːmɯ
オンス	oɴsɯ
オンタリオ	oɴtaɾio
オンドル	oɴdoɾɯ
オンブズマン	oɴbɯzɯmaɴ
カ	ka
カー	kaː
カースト	kaːsɯto
カーソル	kaːsoɾɯ
カーテン	kaːteɴ
カーデ	kaːde
カーディガン	kaːdeigaɴ
カートゥーン	kaːtɯːɴ
カートリッジ	kaːtoɾidʑːi
カード	kaːdo
カードリーダー	kaːdoɾiːdaː
カードル	kaːdoɾɯ
カーナビ	kaːnabi
カーナビゲーションシステム	kaːnabigeːɕoɴɕisɯtemɯ
カーニバル	kaːnibaɾɯ
カーネーション	kaːneːɕoɴ
カーネル	kaːneɾɯ
カーブミラー	kaːbɯmiɾaː
カーボンニュートラル	kaːboɴnjɯːtoɾaɾɯ
カーラー	kaːɾaː
カーリング	kaːɾiɴgɯ
カイマン	kaimaɴ
カイロ	kaiɾo
カイロプラクター	kaiɾopɯɾakɯtaː
カウチ	kaɯtɕi
カウボーイ	kaɯboːi
カウンセラー	kaɯɴseɾaː
カウンセリング	kaɯɴseɾiɴgɯ
カウンタ	kaɯɴta
カウンター	kaɯɴtaː
カウンターテナー	kaɯɴtaːtenaː
カウント	kaɯɴto
カウントダウン	kaɯɴtodaɯɴ
カオス	kaosɯ
カオリャン	kaoɾjaɴ
カキコ	kakiko
カキタレ	kakitaɾe
カクテキ	kakɯteki
カクテル	kakɯteɾɯ
カザフスタン	kazaɸɯsɯtaɴ
カシミール	kaɕimiːɾɯ
カシミア	kaɕimia
カジノ	kadʑino
カス	kasɯ
カスタード	kasɯtaːdo
カスタム	kasɯtamɯ
カステラ	kasɯteɾa
カストラート	kasɯtoɾaːto
カスバ	kasɯba
カソード	kasoːdo
カソリック	kasoɾikːɯ
カタール	kataːɾɯ
カタストロフィ	katasɯtoɾoɸi
カタストロフィー	katasɯtoɾoɸiː
カタルーニャ	kataɾɯːnja
カタルシス	kataɾɯɕisɯ
カタログ	kataɾogɯ
カチオン	katɕioɴ
カチューシャ	katɕɯːɕa
カチンコ	katɕiɴko
カッター	katːaː
カッティング	katːeiɴgɯ
カップ	kapːɯ
カップケーキ	kapːɯkeːki
カップリング	kapːɯɾiɴgɯ
カップル	kapːɯɾɯ
カツ	katsɯ
カツレツ	katsɯɾetsɯ
カテーテル	kateːteɾɯ
カテゴライズ	kategoɾaizɯ
カテゴリ	kategoɾi
カテゴリー	kategoɾiː
カトリシズム	katoɾiɕizɯmɯ
カドミウム	kadomiɯmɯ
カナキン	kanakiɴ
カナリア	kanaɾia
カニバリズム	kanibaɾizɯmɯ
カヌー	kanɯː
カノン	kanoɴ
カバー	kabaː
カピバラ	kapibaɾa
カフェアラクレーム	kaɸɯeaɾakɯɾeːmɯ
カフェイン	kaɸɯeiɴ
カフェオレ	kaɸɯeoɾe
カフェテリア	kaɸɯeteɾia
カフェラッテ	kaɸɯeɾatːe
カフス	kaɸɯsɯ
カプサイシン	kapɯsaiɕiɴ
カプセル	kapɯseɾɯ
カプチーノ	kapɯtɕiːno
カペッリーニ	kapeッɾiːni
カムコーダー	kamɯkoːdaː
カムバック	kamɯbakːɯ
カムルチー	kamɯɾɯtɕiː
カメオ	kameo
カメラ	kameɾa
カメラマン	kameɾamaɴ
カメラワーク	kameɾaɰᵝaːkɯ
カメルーン	kameɾɯːɴ
カメレオン	kameɾeoɴ
カモフラージュ	kamoɸɯɾaːdʑɯ
カヤック	kajakːɯ
カラオケ	kaɾaoke
カラコン	kaɾakoɴ
カラザ	kaɾaza
カラチ	kaɾatɕi
カラフル	kaɾaɸɯɾɯ
カラメル	kaɾameɾɯ
カラン	kaɾaɴ
カリ	kaɾi
カリウム	kaɾiɯmɯ
カリカチュア	kaɾikatɕɯa
カリキュラム	kaɾikjɯɾamɯ
カリグラフィー	kaɾigɯɾaɸiː
カリスマ	kaɾisɯma
カリフォルニア	kaɾiɸoɾɯnia
カリフォルニアコンドル	kaɾiɸoɾɯniakoɴdoɾɯ
カリフラワー	kaɾiɸɯɾaɰᵝaː
カリブー	kaɾibɯː
カリホルニウム	kaɾihoɾɯniɯmɯ
カルキ	kaɾɯki
カルシウム	kaɾɯɕiɯmɯ
カルタ	kaɾɯta
カルチャー	kaɾɯtɕaː
カルテ	kaɾɯte
カルテル	kaɾɯteɾɯ
カルト	kaɾɯto
カルトゥーシュ	kaɾɯtɯːɕɯ
カルパス	kaɾɯpasɯ
カルビ	kaɾɯbi
カルボキシル	kaɾɯbokiɕiɾɯ
カルボナーラ	kaɾɯbonaːɾa
カルボニル	kaɾɯboniɾɯ
カルマ	kaɾɯma
カレー	kaɾeː
カレンダー	kaɾeɴdaː
カロチン	kaɾotɕiɴ
カロテノイド	kaɾotenoido
カロテン	kaɾoteɴ
カワユス	kaɰᵝajɯsɯ
カワラナデシコ	kaɰᵝaɾanadeɕiko
カンガルー	kaɴgaɾɯː
カンザス	kaɴzasɯ
カンスト	kaɴsɯto
カンタータ	kaɴtaːta
カンタービレ	kaɴtaːbiɾe
カンチョー	kaɴtɕoː
カンテラ	kaɴteɾa
カンデラ	kaɴdeɾa
カンバス	kaɴbasɯ
カンパ	kaɴpa
カンフル	kaɴɸɯɾɯ
カンペ	kaɴpe
カンマ	kaɴma
カヴァー	kavaː
ガーゴイル	gaːgoiɾɯ
ガーゼ	gaːze
ガーター	gaːtaː
ガーデン	gaːdeɴ
ガード	gaːdo
ガードル	gaːdoɾɯ
ガーナ	gaːna
ガーネット	gaːnetːo
ガールズラブ	gaːɾɯzɯɾabɯ
ガールフレンド	gaːɾɯɸɯɾeɴdo
ガイア	gaia
ガウン	gaɯɴ
ガジェット	gadʑietːo
ガスケット	gasɯketːo
ガスレンジ	gasɯɾeɴdʑi
ガセ	gase
ガゼル	gazeɾɯ
