ㄱㅏ	ka̠
ㄱㅏㄱㅓㅎㅏㄷㅏ	ka̠ɡʌ̹ɦa̠da̠
ㄱㅏㄱㅓㄴㅁㅜㄹ	ˈka̠ːɡʌ̹nmuɭ
ㄱㅏㄱㅓㄴㅊㅜㄱ	ˈka̠ːɡʌ̹nt͡ɕʰuk̚
ㄱㅏㄱㅓㅁㅁㅜㄹ	ˈka̠ːɡʌ̹mmuɭ
ㄱㅏㄱㅔ	ˈka̠ːɡe̞
ㄱㅏㄱㅔㄱㅓㅁㅣㄱㅘ	ˈka̠ːɡe̞ɡʌ̹miɡwa̠
ㄱㅏㄱㅔㄱㅓㅁㅣㅅㄱㅘ	ˈka̠ːɡe̞ɡʌ̹mit̚k͈wa̠
ㄱㅏㄱㅔㄴㅐㄱㅣ	ˈka̠ːɡe̞nɛ̝ɡi
ㄱㅏㄱㅔㅂㅏㅇ	ˈka̠ːɡe̞ba̠ŋ
ㄱㅏㄱㅔㅅㅔ	ˈka̠ːɡe̞s͈e̞
ㄱㅏㄱㅔㅈㅐㅇㅇㅣ	ˈka̠ːɡe̞d͡ʑɛ̝ŋi
ㄱㅏㄱㅔㅈㅣㅂ	ˈka̠ːɡe̞d͡ʑip̚
ㄱㅏㄱㅔㅊㅐ	ˈka̠ːɡe̞t͡ɕʰɛ̝
ㄱㅏㄱㅔㅅㅂㅏㅇ	ˈka̠ːɡe̞p͈a̠ŋ
ㄱㅏㄱㅔㅅㅅㅔ	ˈka̠ːɡe̞t̚s͈e̞
ㄱㅏㄱㅔㅅㅈㅣㅂ	ka̠ɡe̞t̚t͡ɕ͈ip̚
ㄱㅏㄱㅕㄱ	ka̠ɡjʌ̹k̚
ㄱㅏㄱㅕㄱ ㄱㅕㅇㅈㅐㅇ	ka̠ɡjʌ̹k̚ kjʌ̹ŋd͡ʑɛ̝ŋ
ㄱㅏㄱㅕㄱ ㅈㅓㅇㅊㅐㄱ	ka̠ɡjʌ̹k̚ t͡ɕʌ̹ŋt͡ɕʰɛ̝k̚
ㄱㅏㄱㅕㄱ ㅋㅏㄹㅡㅌㅔㄹ	ka̠ɡjʌ̹k̚ kʰa̠ɾɯtʰe̞ɭ
ㄱㅏㄱㅕㄱ ㅌㅗㅇㅈㅔ	ka̠ɡjʌ̹k̚ tʰo̞ŋd͡ʑe̞
ㄱㅏㄱㅕㄱ ㅎㅕㅂㅈㅓㅇ ㅋㅏㄹㅡㅌㅔㄹ	ka̠ɡjʌ̹k̚ çjʌ̹p̚t͡ɕ͈ʌ̹ŋ kʰa̠ɾɯtʰe̞ɭ
ㄱㅏㄱㅕㄱㄱㅕㄱㅊㅏ	ka̠ɡjʌ̹k̚k͈jʌ̹k̚t͡ɕʰa̠
ㄱㅏㄱㅕㄱㄱㅕㄱㅊㅏㄱㅡㅁ	ka̠ɡjʌ̹k̚k͈jʌ̹k̚t͡ɕʰa̠ɡɯm
ㄱㅏㄱㅕㄱㄱㅕㄹㅈㅓㅇㄹㅗㄴ	ka̠ɡjʌ̹k̚k͈jʌ̹ɭd͡ʑʌ̹ŋno̞n
ㄱㅏㄱㅕㄱㄱㅕㅇㄱㅣ	ka̠ɡjʌ̹k̚k͈jʌ̹ŋɡi
ㄱㅏㄱㅕㄱ ㄱㅕㅇㅈㅐㅇ	ka̠ɡjʌ̹k̚ kjʌ̹ŋd͡ʑɛ̝ŋ
ㄱㅏㄱㅕㄱㄱㅖㅎㅚㄱㅎㅘ	ka̠ɡjʌ̹k̚k͈je̞ɦø̞kʰwa̠
ㄱㅏㄱㅕㄱㄱㅠㄴㅎㅕㅇ	ka̠ɡjʌ̹k̚k͈junʝjʌ̹ŋ
ㄱㅏㄱㅕㄱㄱㅣㅈㅜㄴ	ka̠ɡjʌ̹k̚k͈id͡ʑun
ㄱㅏㄱㅕㄱㄷㅐ	ka̠ɡjʌ̹k̚t͈ɛ̝
ㄱㅏㄱㅕㄱㄷㅐㅅㅓㅇㄴㅡㅇㅂㅣ	ka̠ɡjʌ̹k̚t͈ɛ̝sʰʌ̹ŋnɯŋbi
ㄱㅏㄱㅕㄱㅂㅕㄴㄷㅗㅇㅈㅜㄴㅂㅣㄱㅡㅁ	ka̠ɡjʌ̹k̚p͈jʌ̹ndo̞ŋd͡ʑunbiɡɯm
ㄱㅏㄱㅕㄱㅂㅜㄴㅎㅏㄹ	ka̠ɡjʌ̹k̚p͈unɦa̠ɭ
ㄱㅏㄱㅕㄱㅅㅏㅇㅍㅜㅁㄱㅝㄴ	ka̠ɡjʌ̹ks͈a̠ŋpʰumɡwʌ̹n
ㄱㅏㄱㅕㄱㅅㅗㄱㅜ	ka̠ɡjʌ̹ks͈o̞ɡu
ㄱㅏㄱㅕㄱㅅㅣㅈㅓㅁ	ka̠ɡjʌ̹kɕ͈id͡ʑʌ̹m
ㄱㅏㄱㅕㄱㅇㅕㄴㄷㅗㅇㅈㅔ	ka̠ɡjʌ̹ɡjʌ̹ndo̞ŋd͡ʑe̞
ㄱㅏㄱㅕㄱㅇㅣㄴㄷㅔㄱㅅㅔㅇㅣㅅㅕㄴ	ka̠ɡjʌ̹ɡinde̞ks͈e̞iɕʰjʌ̹n
ㄱㅏㄱㅕㄱ ㅈㅓㅇㅊㅐㄱ	ka̠ɡjʌ̹k̚ t͡ɕʌ̹ŋt͡ɕʰɛ̝k̚
ㄱㅏㄱㅕㄱㅈㅔ	ka̠ɡjʌ̹k̚t͡ɕ͈e̞
ㄱㅏㄱㅕㄱㅈㅔㅈㅓㅇㅎㅏㄱ	ka̠ɡjʌ̹k̚t͡ɕ͈e̞d͡ʑʌ̹ŋɦa̠k̚
ㄱㅏㄱㅕㄱㅈㅗㅇㄹㅠ	ka̠ɡjʌ̹k̚t͡ɕ͈o̞ŋɲju
ㄱㅏㄱㅕㄱㅈㅣㅅㅜ	ka̠ɡjʌ̹k̚t͡ɕ͈isʰu
ㄱㅏㄱㅕㄱㅊㅏㄱㅡㅁ	ka̠ɡjʌ̹k̚t͡ɕʰa̠ɡɯm
ㄱㅏㄱㅕㄱㅊㅏㄷㅡㅇ	ka̠ɡjʌ̹k̚t͡ɕʰa̠dɯŋ
ㄱㅏㄱㅕㄱㅊㅏㅇㅣㄱㄱㅡㅁ	ka̠ɡjʌ̹k̚t͡ɕʰa̠ik̚k͈ɯm
ㄱㅏㄱㅕㄱㅊㅔㄱㅖ	ka̠ɡjʌ̹k̚t͡ɕʰe̞ɡje̞
ㄱㅏㄱㅕㄱ ㅋㅏㄹㅡㅌㅔㄹ	ka̠ɡjʌ̹k̚ kʰa̠ɾɯtʰe̞ɭ
ㄱㅏㄱㅕㄱㅌㅏㄴㄹㅕㄱㅅㅓㅇ	ka̠ɡjʌ̹k̚tʰa̠ɭʎjʌ̹ks͈ʌ̹ŋ
ㄱㅏㄱㅕㄱ ㅌㅗㅇㅈㅔ	ka̠ɡjʌ̹k̚ tʰo̞ŋd͡ʑe̞
ㄱㅏㄱㅕㄱㅌㅜㅈㅐㅇ	ka̠ɡjʌ̹k̚tʰud͡ʑɛ̝ŋ
ㄱㅏㄱㅕㄱㅍㅕㄴㅊㅏㄱㅡㅁ	ka̠ɡjʌ̹k̚pʰjʌ̹nt͡ɕʰa̠ɡɯm
ㄱㅏㄱㅕㄱㅍㅗㄱㅈㅔㅎㅏㄴ	ka̠ɡjʌ̹k̚pʰo̞k̚t͡ɕ͈e̞ɦa̠n
ㄱㅏㄱㅕㄱㅍㅛ	ka̠ɡjʌ̹k̚pʰjo
ㄱㅏㄱㅕㄱㅍㅛㄱㅣㅇㅜㅍㅕㄴㅁㅜㄹ	ka̠ɡjʌ̹k̚pʰjoɡiupʰjʌ̹nmuɭ
ㄱㅏㄱㅕㄱㅍㅛㅅㅣ	ka̠ɡjʌ̹k̚pʰjoɕʰi
ㄱㅏㄱㅕㄱㅎㅏㄷㅏ	ka̠ɡjʌ̹kʰa̠da̠
ㄱㅏㄱㅕㄱㅎㅕㄱㅁㅕㅇ	ka̠ɡjʌ̹kçjʌ̹ŋmjʌ̹ŋ
ㄱㅏㄱㅕㄱㅎㅕㄴㅅㅣㄹㅎㅘ	ka̠ɡjʌ̹kçjʌ̹nɕʰiɾβwa̠
ㄱㅏㄱㅕㄱ ㅎㅕㅂㅈㅓㅇ ㅋㅏㄹㅡㅌㅔㄹ	ka̠ɡjʌ̹k̚ çjʌ̹p̚t͡ɕ͈ʌ̹ŋ kʰa̠ɾɯtʰe̞ɭ
ㄱㅏㄱㅕㄱㅎㅛㄱㅘ	ka̠ɡjʌ̹kçjoɡwa̠
ㄱㅏㄱㅕㄴ	ka̠ɡjʌ̹n
ㄱㅏㄱㅕㄴㅎㅏㄷㅏ	ka̠ɡjʌ̹nɦa̠da̠
ㄱㅏㄱㅕㄹ	ka̠ɡjʌ̹ɭ
ㄱㅏㄱㅕㄹㄷㅚㄷㅏ	ka̠ɡjʌ̹ɭdø̞da̠
ㄱㅏㄱㅕㄹㅇㅏㄴ	ˈka̠ːɡjʌ̹ɾa̠n
ㄱㅏㄱㅕㄹㅇㅢ	ˈka̠ːɡjʌ̹ɾɰi
ㄱㅏㄱㅕㄹㅇㅢㄷㅚㄷㅏ	ˈka̠ːɡjʌ̹ɾɰidø̞da̠
ㄱㅏㄱㅕㄹㅇㅢㅎㅏㄷㅏ	ˈka̠ːɡjʌ̹ɾɰiɦa̠da̠
ㄱㅏㄱㅕㄹㅈㅓㄴ	ka̠ɡjʌ̹ɭt͡ɕ͈ʌ̹n
ㄱㅏㄱㅕㄹㅎㅏㄷㅏ	ka̠ɡjʌ̹ɾɦa̠da̠
ㄱㅏㄱㅕㅇ	ka̠ɡjʌ̹ŋ
ㄱㅏㄱㅕㅇㅈㅏ	ka̠ɡjʌ̹ŋd͡ʑa̠
ㄱㅏㄱㅕㅇㅈㅣ	ˈka̠ːɡjʌ̹ŋd͡ʑi
ㄱㅏㄱㅕㅇㅎㅏㄷㅏ	ka̠ɡjʌ̹ŋɦa̠da̠
ㄱㅏㄱㅖ	ka̠ɡje̞
ㄱㅏㄱㅖㄱㅕㅇㅈㅔ	ka̠ɡje̞ɡjʌ̹ŋd͡ʑe̞
ㄱㅏㄱㅖㄷㅗ	ka̠ɡje̞do̞
ㄱㅏㄱㅖㄷㅚㄷㅏ	ka̠ɡje̞dø̞da̠
ㄱㅏㄱㅖㄹㅖ	ka̠ɡje̞ɾje̞
ㄱㅏㄱㅖㅁㅣㄱㅏ	ka̠ɡje̞mik͈a̠
ㄱㅏㄱㅖㅂㅗㅎㅓㅁ	ka̠ɡje̞bo̞ɦʌ̹m
ㄱㅏㄱㅖㅂㅜ	ka̠ɡje̞bu
ㄱㅏㄱㅖㅂㅜㄱㅣ	ka̠ɡje̞buɡi
ㄱㅏㄱㅖㅂㅜㄴㅅㅓㄱ	ka̠ɡje̞bunsʰʌ̹k̚
ㄱㅏㄱㅖㅂㅣ	ka̠ɡje̞bi
ㄱㅏㄱㅖㅅㅏ	ka̠ɡje̞sʰa̠
ㄱㅏㄱㅖㅅㅓㄴㅂㅏㄹㅂㅓㅂ	ka̠ɡje̞sʰʌ̹nba̠ɭp͈ʌ̹p̚
ㄱㅏㄱㅖㅅㅗㄷㅡㄱ	ka̠ɡje̞sʰo̞dɯk̚
ㄱㅏㄱㅖㅅㅜㅍㅛ	ka̠ɡje̞sʰupʰjo
ㄱㅏㄱㅖㅇㅑㄱ	ˈka̠ːɡje̞ja̠k̚
ㄱㅏㄱㅖㅇㅑㄱㄷㅚㄷㅏ	ˈka̠ːɡje̞ja̠k̚t͈ø̞da̠
ㄱㅏㄱㅖㅇㅑㄱㅅㅓ	ˈka̠ːɡje̞ja̠ks͈ʌ̹
ㄱㅏㄱㅖㅇㅑㄱㅎㅏㄷㅏ	ˈka̠ːɡje̞ja̠kʰa̠da̠
ㄱㅏㄱㅖㅈㅓㅇ	ˈka̠ːɡje̞d͡ʑʌ̹ŋ
ㄱㅏㄱㅖㅈㅗㅅㅏ	ka̠ɡje̞d͡ʑo̞sʰa̠
ㄱㅏㄱㅖㅈㅗㅇㅎㅏㅂㅇㅖㄱㅡㅁ	ka̠ɡje̞d͡ʑo̞ŋɦa̠bje̞ɡɯm
ㄱㅏㄱㅖㅈㅜ	ka̠ɡje̞d͡ʑu
ㄱㅏㄱㅖㅊㅜㄹㅣㅁㅂㅓㅂ	ka̠ɡje̞t͡ɕʰuɾimp͈ʌ̹p̚
ㄱㅏㄱㅖㅍㅗ	ka̠ɡje̞pʰo̞
ㄱㅏㄱㅖㅍㅛ	ka̠ɡje̞pʰjo
ㄱㅏㄱㅖㅎㅏㄷㅏ	ka̠ɡje̞ɦa̠da̠
ㄱㅏㄱㅗ	ka̠ɡo̞
ㄱㅏㄱㅗㄱㅓㄴ	ka̠ɡo̞ɡʌ̹n
ㄱㅏㄱㅗㅁㅜㄴㅈㅓㄱ	ˈka̠ːɡo̞mund͡ʑʌ̹k̚
ㄱㅏㄱㅗㅁㅜㄴㅎㅓㄴ	ˈka̠ːɡo̞munɦʌ̹n
ㄱㅏㄱㅗㅅㅣㅁㅏ	ka̠ɡo̞ɕʰima̠
ㄱㅏㄱㅗㅅㅣㅁㅏㅎㅕㄴ	ka̠ɡo̞ɕʰima̠ʝjʌ̹n
ㄱㅏㄱㅗㅊㅓ	ˈka̠ːɡo̞t͡ɕʰʌ̹
ㄱㅏㄱㅗㅎㅏㄷㅏ	ˈka̠ːɡo̞ɦa̠da̠
ㄱㅏㄱㅗㄱ	ka̠ɡo̞k̚
ㄱㅏㄱㅗㄱㅂㅗ	ka̠ɡo̞k̚p͈o̞
ㄱㅏㄱㅗㄱㅅㅓㄴ	ka̠ɡo̞ks͈ʌ̹n
ㄱㅏㄱㅗㄱㅇㅝㄴㄹㅠ	ka̠ɡo̞ɡwʌ̹ɭʎju
ㄱㅏㄱㅗㄱㅈㅏㅇㄷㅏㄴ	ka̠ɡo̞k̚t͡ɕ͈a̠ŋda̠n
ㄱㅏㄱㅗㄱㅈㅣㅂ	ka̠ɡo̞k̚t͡ɕ͈ip̚
ㄱㅏㄱㅗㄹ	ˈka̠ːɡo̞ɭ
ㄱㅏㄱㅗㅇ	ka̠ɡo̞ŋ
ㄱㅏㄱㅗㅇㄱㅏㅅㅗ	ka̠ːɡo̞ŋɡa̠ːsʰo̞
ㄱㅏㄱㅗㅇㄱㅏㄴ	ˈka̠ːɡo̞ŋɡa̠n
ㄱㅏㄱㅗㅇㄱㅕㅇㅎㅘ	ka̠ɡo̞ŋɡjʌ̹ŋβwa̠
ㄱㅏㄱㅗㅇㄱㅗㅇㅈㅓㅇㄱㅗㅇㅎㅏㄱ	ka̠ɡo̞ŋɡo̞ŋd͡ʑʌ̹ŋɡo̞ŋɦa̠k̚
ㄱㅏㄱㅗㅇㄴㅏㅅㅓㄴㄹㅗ	ka̠ɡo̞ŋna̠sʰʌ̹ɭɭo̞
ㄱㅏㄱㅗㅇㄷㅓㅅㅅㅏㄹ	ka̠ɡo̞ŋdʌ̹t̚s͈a̠ɭ
ㄱㅏㄱㅗㅇㄷㅗㅊㅔ	ka̠ɡo̞ŋdo̞t͡ɕʰe̞
ㄱㅏㄱㅗㅇㄷㅚㄷㅏ	ka̠ɡo̞ŋdø̞da̠
ㄱㅏㄱㅗㅇㄹㅏㅅㅓㄴㄹㅗ	ka̠ɡo̞ŋna̠sʰʌ̹ɭɭo̞
ㄱㅏㄱㅗㅇㅁㅏㅇㅅㅏㅇ	ka̠ɡo̞ŋma̠ŋsʰa̠ŋ
ㄱㅏㄱㅗㅇㅁㅗㅅㅓㄴ	ka̠ɡo̞ŋmo̞sʰʌ̹n
ㄱㅏㄱㅗㅇㅁㅜㅇㅕㄱ	ka̠ɡo̞ŋmujʌ̹k̚
ㄱㅏㄱㅗㅇㅁㅣㄴㅈㅓㄴㅅㅓㄴ	ka̠ɡo̞ŋmind͡ʑʌ̹nsʰʌ̹n
ㄱㅏㄱㅗㅇㅂㅐㅅㅏㅇ	ka̠ɡo̞ŋbɛ̝sʰa̠ŋ
ㄱㅏㄱㅗㅇㅂㅓㅂ	ka̠ɡo̞ŋp͈ʌ̹p̚
ㄱㅏㄱㅗㅇㅂㅣ	ka̠ɡo̞ŋbi
ㄱㅏㄱㅗㅇㅅㅏㄱㄷㅗ	ka̠ɡo̞ŋsʰa̠k̚t͈o̞
ㄱㅏㄱㅗㅇㅅㅐㅇㅅㅏㄴ	ka̠ɡo̞ŋsʰɛ̝ŋsʰa̠n
ㄱㅏㄱㅗㅇㅅㅓㄴ	ka̠ɡo̞ŋsʰʌ̹n
ㄱㅏㄱㅗㅇㅅㅓㄴㄹㅗ	ka̠ɡo̞ŋsʰʌ̹ɭɭo̞
ㄱㅏㄱㅗㅇㅅㅜㅇㅣㅂ	ka̠ɡo̞ŋsʰuip̚
ㄱㅏㄱㅗㅇㅅㅜㅈㅣ	ka̠ɡo̞ŋsʰud͡ʑi
ㄱㅏㄱㅗㅇㅅㅜㅊㅜㄹ	ka̠ɡo̞ŋsʰut͡ɕʰuɭ
ㄱㅏㄱㅗㅇㅅㅡㄹㅓㅂㄷㅏ	ˈka̠ːɡo̞ŋsʰɯɾʌ̹p̚t͈a̠
ㄱㅏㄱㅗㅇㅅㅡㄹㅔ	ˈka̠ːɡo̞ŋsʰɯɾe̞
ㄱㅏㄱㅗㅇㅅㅣㄹ	ka̠ɡo̞ŋɕʰiɭ
ㄱㅏㄱㅗㅇㅇㅑㄱㅡㅁㅎㅏㄱ	ka̠ɡo̞ŋja̠ɡɯmɦa̠k̚
ㄱㅏㄱㅗㅇㅇㅓㅂ	ka̠ɡo̞ŋʌ̹p̚
ㄱㅏㄱㅗㅇㅇㅕㅇㅠ	ka̠ɡo̞ŋjʌ̹ju
ㄱㅏㄱㅗㅇㅇㅕㄹㅊㅓㄹㅣ	ka̠ɡo̞ŋjʌ̹ɭt͡ɕʰʌ̹ɾi
ㄱㅏㄱㅗㅇㅇㅕㅇㅅㅏ	ˈka̠ːɡo̞ŋɲjʌ̹ŋsʰa̠
ㄱㅏㄱㅗㅇㅇㅕㅇㅅㅏㅎㅏㄷㅏ	ˈka̠ːɡo̞ŋɲjʌ̹ŋsʰa̠ɦa̠da̠
ㄱㅏㄱㅗㅇㅇㅝㄴㄹㅛ	ka̠ɡo̞ŋwʌ̹ɭʎjo
ㄱㅏㄱㅗㅇㅇㅠ	ka̠ɡo̞ŋɲju
ㄱㅏㄱㅗㅇㅇㅠㅇㅕㄴㅅㅔㅍㅗ	ka̠ɡo̞ŋjujʌ̹nsʰe̞pʰo̞
ㄱㅏㄱㅗㅇㅇㅠㄱ	ka̠ɡo̞ŋɲjuk̚
ㄱㅏㄱㅗㅇㅇㅢㅊㅣ	ka̠ɡo̞ŋɰit͡ɕʰi
ㄱㅏㄱㅗㅇㅇㅣㅇㅣㄱ	ka̠ɡo̞ŋiik̚
ㄱㅏㄱㅗㅇㅇㅣㄴㅁㅜㄹ	ka̠ɡo̞ŋinmuɭ
ㄱㅏㄱㅗㅇㅇㅣㄴㅇㅣㅂㅅㅓㄴ	ka̠ɡo̞ŋinips͈ʌ̹n
ㄱㅏㄱㅗㅇㅈㅏㅅㅏㄴ	ka̠ɡo̞ŋd͡ʑa̠sʰa̠n
ㄱㅏㄱㅗㅇㅈㅓㄱ	ka̠ɡo̞ŋd͡ʑʌ̹k̚
ㄱㅏㄱㅗㅇㅈㅓㄴㅅㅓㄴ	ka̠ɡo̞ŋd͡ʑʌ̹nsʰʌ̹n
ㄱㅏㄱㅗㅇㅈㅗㅇㅇㅣ	ka̠ɡo̞ŋd͡ʑo̞ŋi
ㄱㅏㄱㅗㅇㅈㅜㅇㅅㅣㅁ	ka̠ɡo̞ŋd͡ʑuŋɕʰim
ㄱㅏㄱㅗㅇㅈㅜㅇㅅㅣㅁㅂㅏㄴ	ka̠ɡo̞ŋd͡ʑuŋɕʰimba̠n
ㄱㅏㄱㅗㅇㅈㅣ	ka̠ɡo̞ŋd͡ʑi
ㄱㅏㄱㅗㅇㅈㅣㅅㅓㄴ	ka̠ɡo̞ŋd͡ʑisʰʌ̹n
ㄱㅏㄱㅗㅇㅊㅏㅇㄱㅗ	ka̠ɡo̞ŋt͡ɕʰa̠ŋɡo̞
ㄱㅏㄱㅗㅇㅊㅓㄹㄷㅗ	ka̠ɡo̞ŋt͡ɕʰʌ̹ɭt͈o̞
ㄱㅏㄱㅗㅇㅊㅣ	ˈka̠ːɡo̞ŋt͡ɕʰi
ㄱㅏㄱㅗㅇㅋㅔㅇㅣㅂㅡㄹ	ka̠ɡo̞ŋkʰe̞ibɯɭ
ㄱㅏㄱㅗㅇㅍㅜㅁ	ka̠ɡo̞ŋpʰum
ㄱㅏㄱㅗㅇㅎㅏㄷㅏ	ka̠ɡo̞ŋɦa̠da̠
ㄱㅏㄱㅘ	ka̠ɡwa̠
ㄱㅏㄱㅘㅎㅏㄷㅏ	ka̠ɡwa̠ɦa̠da̠
ㄱㅏㄱㅘㄴ	ka̠ɡwa̠n
ㄱㅏㄱㅘㄴㄴㅗ	ˈka̠ːɡwa̠nno̞
ㄱㅏㄱㅘㄴㅅㅗㄱ	ˈka̠ːɡwa̠nsʰo̞k̚
ㄱㅏㄱㅘㄴㅅㅡㄹㅓㅂㄷㅏ	ˈka̠ːɡwa̠nsʰɯɾʌ̹p̚t͈a̠
ㄱㅏㄱㅘㄴㅅㅡㄹㅔ	ˈka̠ːɡwa̠nsʰɯɾe̞
ㄱㅏㄱㅘㄴㅈㅓㄹ	ˈka̠ːɡwa̠nd͡ʑʌ̹ɭ
ㄱㅏㄱㅘㄴㅈㅓㄹㅈㅡㅇ	ˈka̠ːɡwa̠nd͡ʑʌ̹ɭt͡ɕ͈ɯŋ
ㄱㅏㄱㅘㄴㅎㅏㄷㅏ	ka̠ɡwa̠nɦa̠da̠
ㄱㅏㄱㅘㅇ	ka̠ɡwa̠ŋ
ㄱㅏㄱㅘㅇㅎㅏㄷㅏ	ka̠ɡwa̠ŋɦa̠da̠
ㄱㅏㄱㅚ	ka̠ɡø̞
ㄱㅏㄱㅚㅎㅏㄷㅏ	ˈka̠ːɡø̞ɦa̠da̠
ㄱㅏㄱㅛ	ka̠ɡjo
ㄱㅏㄱㅛㄱㅕㄹㅎㅏㅂ	ka̠ɡjoɡjʌ̹ɾɦa̠p̚
ㄱㅏㄱㅛㄷㅗ	ka̠ɡjodo̞
ㄱㅏㄱㅛㅈㅓㄱ	ka̠ɡjod͡ʑʌ̹k̚
ㄱㅏㄱㅛㅎㅏㄷㅏ	ka̠ɡjoɦa̠da̠
ㄱㅏㄱㅜ	ka̠ɡu
ㄱㅏㄱㅜㅅㅏㅇ	ka̠ɡusʰa̠ŋ
ㄱㅏㄱㅜㅇㅓㅂㅊㅔ	ka̠ɡuʌ̹p̚t͡ɕʰe̞
